,,,Input file name TS,Solution cost,Time spent,,Input file name LA,Solution cost,Time spent,,
,,,ga500c-2__bf-0_a1-2.5_l-0.01-0.05,622464,416.57,,ga500c-2__bf-0_a1-2.5_idle-0.02_lh-0.05,622940,0.00,,
,,,ga500c-2__bf-0_a1-2.5_l-0.04-0.08,622940,194.09,,ga500c-2__bf-0_a1-2.5_idle-0.02_lh-0.1,622940,0.00,,
,,,ga500c-2__bf-0_a1-2.5_l-0.01-0.08,622940,203.06,,ga500c-2__bf-0_a1-2.5_idle-0.02_lh-0.5,622940,0.00,,
,,,ga500c-2__bf-1_a1-2.5_l-0.01-0.05,621464,260.68,,ga500c-2__bf-0_a1-2.5_idle-0.02_lh-1,622940,0.00,,
,,,ga500c-2__bf-1_a1-2.5_l-0.04-0.08,622628,192.16,,ga500c-2__bf-1_a1-2.5_idle-0.02_lh-10,622940,0.00,,
,,,ga500c-2__bf-1_a1-2.5_l-0.01-0.08,622464,307.40,,,,,,
,,,,,,,,,,,
,,,ga500c-3__bf-0_a1-2.5_l-0.01-0.05,621672,231.29,,ga500c-3__bf-0_a1-2.5_idle-0.02_lh-0.05,622593,0.00,,
,,,ga500c-3__bf-0_a1-2.5_l-0.04-0.08,621672,198.62,,ga500c-3__bf-0_a1-2.5_idle-0.02_lh-0.1,622593,0.00,,
,,,ga500c-3__bf-0_a1-2.5_l-0.01-0.08,621672,210.63,,ga500c-3__bf-0_a1-2.5_idle-0.02_lh-0.5,622593,0.00,,
,,,ga500c-3__bf-1_a1-2.5_l-0.01-0.05,621428,479.82,,ga500c-3__bf-0_a1-2.5_idle-0.02_lh-1,622593,0.00,,
,,,ga500c-3__bf-1_a1-2.5_l-0.04-0.08,621841,198.31,,ga500c-3__bf-1_a1-2.5_idle-0.02_lh-10,622593,0.00,,
,,,ga500c-3__bf-1_a1-2.5_l-0.01-0.08,621841,208.48,,,,,,
,,,,,,,,,,,
,,,ga500c-4__bf-0_a1-2.5_l-0.01-0.05,622042,210.89,,ga500c-4__bf-0_a1-2.5_idle-0.02_lh-0.05,622117,0.00,,
,,,ga500c-4__bf-0_a1-2.5_l-0.04-0.08,622042,191.91,,ga500c-4__bf-0_a1-2.5_idle-0.02_lh-0.1,622117,0.00,,
,,,ga500c-4__bf-0_a1-2.5_l-0.01-0.08,622042,198.31,,ga500c-4__bf-0_a1-2.5_idle-0.02_lh-0.5,622117,0.00,,
,,,ga500c-4__bf-1_a1-2.5_l-0.01-0.05,621754,373.87,,ga500c-4__bf-0_a1-2.5_idle-0.02_lh-1,622117,0.00,,
,,,ga500c-4__bf-1_a1-2.5_l-0.04-0.08,622042,191.88,,ga500c-4__bf-1_a1-2.5_idle-0.02_lh-10,622117,0.00,,
,,,ga500c-4__bf-1_a1-2.5_l-0.01-0.08,622042,197.49,,,,,,
,,,,,,,,,,,
,,,ga500c-5__bf-0_a1-2.5_l-0.01-0.05,621397,379.88,,ga500c-5__bf-0_a1-2.5_idle-0.02_lh-0.05,622365,0.00,,
,,,ga500c-5__bf-0_a1-2.5_l-0.04-0.08,622365,208.86,,ga500c-5__bf-0_a1-2.5_idle-0.02_lh-0.1,622365,0.00,,
,,,ga500c-5__bf-0_a1-2.5_l-0.01-0.08,622181,346.45,,ga500c-5__bf-0_a1-2.5_idle-0.02_lh-0.5,622365,0.00,,
,,,ga500c-5__bf-1_a1-2.5_l-0.01-0.05,621313,253.13,,ga500c-5__bf-0_a1-2.5_idle-0.02_lh-1,622365,0.00,,
